model_name,dataset_type,learning_type,format_type,precision,recall,f1_score,accuracy,true_positives,false_positives,true_negatives,false_negatives,n_tables,n_claims,result_file
llama3.2:latest,test_examples,zero_shot,html,0.6091752318876912,0.3782101167315175,0.46667946994430576,0.5653807027153924,2430,1559,4795,3995,1695,12779,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_html.json
llama3.2:latest,test_examples,zero_shot,naturalized,0.6444978632478633,0.37556420233463034,0.4745796046808929,0.5818921668362157,2413,1331,5023,4012,1695,12779,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_naturalized.json
llama3.2:latest,test_examples,zero_shot,json,0.6012861736334405,0.34926070038910506,0.4418627547504184,0.5563815635026215,2244,1488,4866,4181,1695,12779,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_json.json
llama3.2:latest,test_examples,zero_shot,markdown,0.6317274305555556,0.45307392996108947,0.5276896582978338,0.5922216135847875,2911,1697,4657,3514,1695,12779,results_with_cells_llama3.2:latest_test_examples_1695_zero_shot_markdown.json
mistral:latest,test_examples,zero_shot,json,0.6847354726799653,0.4915175097276265,0.5722569538823956,0.6305657719696377,3158,1454,4900,3267,1695,12779,results_with_cells_mistral:latest_test_examples_1695_zero_shot_json.json
mistral:latest,test_examples,zero_shot,naturalized,0.7184709821428571,0.40077821011673154,0.5145369167749025,0.6197668049143126,2575,1009,5345,3850,1695,12779,results_with_cells_mistral:latest_test_examples_1695_zero_shot_naturalized.json
mistral:latest,test_examples,zero_shot,html,0.7121594349142281,0.43937743190661477,0.5434594282414091,0.6288441975115424,2823,1141,5213,3602,1695,12779,results_with_cells_mistral:latest_test_examples_1695_zero_shot_html.json
mistral:latest,test_examples,zero_shot,markdown,0.6967801714153348,0.4681712062256809,0.5600446844163098,0.6301745050473433,3008,1309,5045,3417,1695,12779,results_with_cells_mistral:latest_test_examples_1695_zero_shot_markdown.json
deepseek-r1:8b,test_examples,zero_shot,html,0.8442653673163418,0.7011673151750972,0.7660913187654111,0.7847249393536271,4505,831,5523,1920,1695,12779,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_html.json
deepseek-r1:8b,test_examples,zero_shot,markdown,0.8857504979177983,0.7614007782101168,0.8188818212253097,0.8306596760309883,4892,631,5723,1533,1695,12779,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_markdown.json
deepseek-r1:8b,test_examples,zero_shot,naturalized,0.8870426020859112,0.781011673151751,0.8306571759642444,0.8398935753971359,5018,639,5715,1407,1695,12779,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_naturalized.json
deepseek-r1:8b,test_examples,zero_shot,json,0.8636363636363636,0.709727626459144,0.7791542076035882,0.7977150011738008,4560,720,5634,1865,1695,12779,results_with_cells_deepseek-r1:8b_test_examples_1695_zero_shot_json.json
phi4:latest,test_examples,zero_shot,naturalized,0.9091948391311448,0.8664591439688716,0.8873127191584316,0.8893497143751468,5567,556,5798,858,1695,12779,results_with_cells_phi4:latest_test_examples_1695_zero_shot_naturalized.json
phi4:latest,test_examples,zero_shot,markdown,0.9058361942128494,0.8624124513618677,0.8835911337904641,0.8857500586900383,5541,576,5778,884,1695,12779,results_with_cells_phi4:latest_test_examples_1695_zero_shot_markdown.json
phi4:latest,test_examples,zero_shot,html,0.8853891820580475,0.8356420233463036,0.8597966210265033,0.8629783238125049,5369,695,5659,1056,1695,12779,results_with_cells_phi4:latest_test_examples_1695_zero_shot_html.json
